"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"precip_warm_q",51569.5077765208,4,-103131.015553042,-103130.778866651,0.416214741440814,0.750945173973651,51569.5077765208
"Distance",51465.4776254849,2,-102926.95525097,-102926.885075531,0.0202624994681653,0.503507268435928,51465.4776254849
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
