"","Estimate","Std. Error","t value"
"Intercept",0.107145207951888,0.0011551635425738,92.7532803824119
"Distance",0.00155326121153586,7.66372665343678e-05,20.2677011038657
"Intercept",0.10714520795181,0.00134617201425447,79.5925088452746
"precip_warm_q",0.00986144708954105,0.000391136032834101,25.2123206805744
