"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"imperv",51492.0404219838,4,-102976.080843567,-102975.844157177,0.0702386940099801,0.519368121202294,51492.0404217835
"Distance",51467.2205150482,2,-102930.441030096,-102930.370854658,0.0201926449227292,0.503339243603319,51467.2205150482
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
