"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"mean_temp_warm_q",51474.1778165328,4,-102940.355633066,-102940.118946675,0.0283028917013751,0.507000149024986,51474.1778165328
"Distance",51465.4776254849,2,-102926.95525097,-102926.885075531,0.0202624994681653,0.503507268435928,51465.4776254849
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
