"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"drainage_bb",51481.2619888573,9,-102944.523977715,-102943.426416739,0.464379149227147,0.812447464091065,51481.2619888573
"Distance",51467.2205150482,2,-102930.441030096,-102930.370854658,0.0201926449227292,0.503339243603319,51467.2205150482
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
