"","Estimate","Std. Error","t value"
"Intercept",0.107145207951933,0.00115472158556896,92.7887806818303
"Distance",0.00155014268251983,7.61524216824522e-05,20.3557897210908
"Intercept",0.107145207951818,0.00158920073597591,67.4208144548971
"drainage_bb",0.0120640337463634,0.000553141458516829,21.8100335106167
