genID,pop,name,geo_grp,lat,lon,PROVNAME,ECS_PROV,SECNAME,ECS_SEC,SUBSECNAME,ECS_SUBSEC,ECS_fac,ECS_fac2,MN_quad
T-BEL013-1_S75R1_001_gbstrim_trimmomatic,25,BEL013,3,47.72965,-94.584792,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-BEL015-1_S11R1_001_gbstrim_trimmomatic,26,BEL015,3,47.471545,-94.479636,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-BEL017-1_S60R1_001_gbstrim_trimmomatic,27,BEL017,3,47.701905,-94.999914,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-BEL018-1_S153R1_001_gbstrim_trimmomatic,28,BEL018,3,47.862188,-95.15465,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-BEL019-1_S28R1_001_gbstrim_trimmomatic,29,BEL019,3,47.999876,-95.251952,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Agassiz Lowlands,212Mb,10,8,Northwest
T-BEL020-1_S64R1_001_gbstrim_trimmomatic,30,BEL020,3,47.850166,-94.814772,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-BEL021-1_S38R1_001_gbstrim_trimmomatic,31,BEL021,3,47.874495,-94.438257,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-BEN001-1_S9R1_001_gbstrim_trimmomatic,32,BEN001,11,45.576,-94.1259,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Anoka Sand Plain,222Mc,19,16,Southeast
T-BIG002-1_S7R1_001_gbstrim_trimmomatic,33,BIG002,10,45.34491,-96.40087,Prairie Parkland Province,251,North Central Glaciated Plains,251B,Minnesota River Prairie,251Ba,24,20,Southwest
T-CARL002-1_S50R1_001_gbstrim_trimmomatic,34,CARL002,9,46.45932,-92.754662,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-CASS002-1_S2R1_001_gbstrim_trimmomatic,35,CASS002,4,47.37376,-94.54605,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-CASS007-1_S29R1_001_gbstrim_trimmomatic,36,CASS007,4,46.716005,-94.405706,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-CASS008-15-1_S78R1_001_gbstrim_trimmomatic,37,CASS008-15,4,46.542659,-94.687128,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-CASS008-16-1_S6R1_001_gbstrim_trimmomatic,38,CASS008-16,4,47.33747,-94.622731,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-CASS008-18-1_S31R1_001_gbstrim_trimmomatic,39,CASS008-18,5,47.056858,-93.919073,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-CLEAR001-1_S14R1_001_gbstrim_trimmomatic,40,CLEAR001,4,47.52534,-95.507609,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Hardwood Hills,222Ma,17,15,Northwest
T-CLEAR002-1_S173R1_001_gbstrim_trimmomatic,41,CLEAR002,3,47.8328,-95.42703,Tallgrass Aspen Parklands,223,"Lake Agassiz, Aspen Parklands",223N,Aspen Parklands,223Na,22,18,Northwest
T-CLEAR003-1_S82R1_001_gbstrim_trimmomatic,42,CLEAR003,4,47.358957,-95.382536,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-CLEAR004-1_S107R1_001_gbstrim_trimmomatic,43,CLEAR004,4,47.14589,-95.55986,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-CLEAR005-1_S10R1_001_gbstrim_trimmomatic,44,CLEAR005,4,47.25328,-95.22344,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-COOK001-1_S15R1_001_gbstrim_trimmomatic,45,COOK001,7,47.577256,-90.830082,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-COOK002-1_S48R1_001_gbstrim_trimmomatic,46,COOK002,7,47.83044,-89.98264,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-COOK003-1_S45R1_001_gbstrim_trimmomatic,47,COOK003,7,47.965083,-89.677785,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,North Shore Highlands,212Lb,5,3,Northeast
T-CROW005-1_S4R1_001_gbstrim_trimmomatic,48,CROW005,8,46.27211,-93.85452,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-CROW006-1_S59R1_001_gbstrim_trimmomatic,49,CROW006,8,46.380473,-94.245972,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-CROW007-1_S27R1_001_gbstrim_trimmomatic,50,CROW007,8,46.344398,-94.191713,Laurentian Mixed Forest Province,212,Western Superior Uplands,212K,Mille Lacs Uplands,212Kb,3,1,Northeast
T-FINLAND-1_S80R1_001_gbstrim_trimmomatic,51,FINLAND1,14,60.4493,22.249,<Null>,<Null>,<Null>,FIN,<Null>,FIN,28,23,Finland
T-FINLAND-2_S43R1_001_gbstrim_trimmomatic,52,FINLAND2,14,60.4466,22.284,<Null>,<Null>,<Null>,FIN,<Null>,FIN,28,23,Finland
T-HUB002-1_S25R1_001_gbstrim_trimmomatic,53,HUB002,4,47.21713,-94.74794,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-HUB003-1_S39R1_001_gbstrim_trimmomatic,54,HUB003,4,46.977707,-95.204325,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB004-1_S5R1_001_gbstrim_trimmomatic,55,HUB004,4,46.926175,-95.051582,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB006-1_S53R1_001_gbstrim_trimmomatic,56,HUB006,4,47.006374,-94.725277,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB008-1_S41R1_001_gbstrim_trimmomatic,57,HUB008,4,46.760369,-94.776627,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB009-15-1_S65R1_001_gbstrim_trimmomatic,58,HUB009-15,4,46.971468,-94.724132,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB009-16-1_S77R1_001_gbstrim_trimmomatic,59,HUB009-16,4,47.310223,-95.067485,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-HUB010-15-1_S70R1_001_gbstrim_trimmomatic,60,HUB010-15,4,47.166548,-94.796181,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB010-16-1_S19R1_001_gbstrim_trimmomatic,61,HUB010-16,4,47.48345,-95.13039,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-HUB011-1_S71R1_001_gbstrim_trimmomatic,62,HUB011,4,47.188742,-95.052124,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-HUB012-1_S40R1_001_gbstrim_trimmomatic,63,HUB012,4,47.249279,-95.191395,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-HUB013-1_S94R1_001_gbstrim_trimmomatic,64,HUB013,4,47.011237,-95.105509,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Pine Moraines & Outwash Plains,212Nc,13,11,Northwest
T-ISA003-1_S76R1_001_gbstrim_trimmomatic,65,ISA003,11,45.57219,-93.20868,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Anoka Sand Plain,222Mc,19,16,Southeast
T-ISA005-1_S3R1_001_gbstrim_trimmomatic,66,ISA005,11,45.442767,-93.234984,Eastern Broadleaf Forest Province,222,Minnesota & NE Iowa Morainal,222M,Anoka Sand Plain,222Mc,19,16,Southeast
T-ISA013-1_S161R1_001_gbstrim_trimmomatic,67,ITA013,5,47.226253,-93.496778,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-ITA002-1_S69R1_001_gbstrim_trimmomatic,68,ITA002,5,47.822526,-94.264709,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-ITA003-1_S57R1_001_gbstrim_trimmomatic,69,ITA003,5,47.743433,-94.055441,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,Chippewa Plains,212Na,11,9,Northwest
T-ITA004-1_S21R1_001_gbstrim_trimmomatic,70,ITA004,5,47.727406,-94.007049,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-ITA005-1_S26R1_001_gbstrim_trimmomatic,71,ITA005,5,47.760202,-93.722603,Laurentian Mixed Forest Province,212,N. Minnesota & Ontario Peatlands,212M,Littlefork-Vermillion Uplands,212Ma,9,7,Northwest
T-ITA006-1_S16R1_001_gbstrim_trimmomatic,72,ITA006,5,47.807441,-93.384488,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-ITA008-1_S44R1_001_gbstrim_trimmomatic,73,ITA008,5,47.516852,-93.194447,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-ITA009-1_S52R1_001_gbstrim_trimmomatic,74,ITA009,5,47.402076,-93.174261,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-ITA010-1_S63R1_001_gbstrim_trimmomatic,75,ITA010,5,47.322529,-93.275824,Laurentian Mixed Forest Province,212,Northern Superior Uplands,212L,Nashwauk Uplands,212Lc,6,4,Northeast
T-ITA011-1_S32R1_001_gbstrim_trimmomatic,76,ITA011,5,47.290847,-93.421328,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
T-ITA012-1_S88R1_001_gbstrim_trimmomatic,77,ITA012,5,47.30069,-93.416708,Laurentian Mixed Forest Province,212,N. Minnesota Drift & Lake Plains,212N,St. Louis Moraines,212Nb,12,10,Northeast
