"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"soil_min_pca2_transpose_bb",51470.261377559,4,-102932.522755118,-102932.286068727,0.0239830227812465,0.511842529197286,51470.261377559
"Distance",51467.2205150482,2,-102930.441030096,-102930.370854658,0.0201926449227292,0.503339243603319,51467.2205150482
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
