"","Estimate","Std. Error","t value"
"Intercept",0.107145207951933,0.00115472158556896,92.7887806818303
"Distance",0.00155014268251983,7.61524216824522e-05,20.3557897210908
"Intercept",0.107145207951899,0.00116994353832202,91.5815203403502
"soil_min_pca2_transpose_bb",0.00170348085318453,8.30435194752278e-05,20.5131100409669
