"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"land_class",51541.6002868511,16,-103051.200573702,-103047.735605549,0.394592267839289,0.734260330304516,51541.6002868511
"Distance",51458.0846485315,2,-102912.169297063,-102912.099121624,0.0280912931924865,0.502670197396484,51458.0846485315
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
