"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"soil_comp_pca1_transpose_bb",51484.2335853952,4,-102960.46717079,-102960.2304844,0.0812625612839558,0.535574429693995,51484.2335853952
"Distance",51467.2516585476,2,-102930.503317095,-102930.433141657,0.0202109971543243,0.503304426722799,51467.2516585476
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
