"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"soil_min_pca1_transpose_bb",51618.9964449638,4,-103229.992889928,-103229.756203537,0.56718665052206,0.865210431344523,51618.9964449638
"Distance",51467.2205150482,2,-102930.441030096,-102930.370854658,0.0201926449227292,0.503339243603319,51467.2205150482
"Null",51262.8410228628,1,-102523.682045726,-102523.658789912,0,0.488190739881551,51262.8410228628
