"","Estimate","Std. Error","t value"
"Intercept",0.107145207951933,0.00115472158556896,92.7887806818303
"Distance",0.00155014268251983,7.61524216824522e-05,20.3557897210908
"Intercept",0.107145207951584,0.00171681269820431,62.409375270612
"soil_min_pca1_transpose_bb",0.0155622446014265,0.000557466951710882,27.9159949368577
