"","Estimate","Std. Error","t value"
"Intercept",0.107145207951888,0.0011551635425738,92.7532803824119
"Distance",0.00155326121153586,7.66372665343678e-05,20.2677011038657
"Intercept",0.107145207951878,0.00117574330670271,91.1297622032478
"min_temp_cold_m",0.00542149333267588,0.00023204556767136,23.3639167818719
