"","Estimate","Std. Error","t value"
"Intercept",0.107145207952027,0.00115461638265155,92.7972351353363
"Distance",0.00155079068348813,7.61784456964069e-05,20.3573421498843
"Intercept",0.107145207951939,0.0011621281931734,92.197408669142
"soil_comp_pca2_transpose_bb",0.00227702667283531,0.000108838668724151,20.9211183812473
